model,condition,seed,class_id,action,support,clean_accuracy,accuracy
stgcn,clean,2026,42,falling,275,0.9855,0.9855
stgcn,clean,2026,43,touch head (headache),276,0.7657,0.7935
stgcn,clean,2026,44,touch chest (stomachache/heart pain),276,0.9058,0.9022
stgcn,clean,2026,45,touch back (backache),276,0.9263,0.9275
stgcn,clean,2026,46,touch neck (neckache),276,0.8816,0.8551
stgcn,clean,2026,47,nausea or vomiting condition,275,0.8509,0.8655
stgcn,clean,2026,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.9273
stgcn,clean,2026,49,punching/slapping other person,274,0.8662,0.8577
stgcn,clean,2026,50,kicking other person,276,0.9167,0.9058
stgcn,clean,2026,51,pushing other person,276,0.971,0.9638
stgcn,clean,2026,52,pat on back of other person,276,0.942,0.9312
stgcn,clean,2026,53,point finger at the other person,276,0.907,0.9094
stgcn,clean,2026,54,hugging other person,274,0.9757,0.9708
stgcn,clean,2026,55,giving something to other person,276,0.9348,0.9275
stgcn,clean,2026,56,touch other person's pocket,275,0.9285,0.92
stgcn,clean,2026,57,handshaking,276,0.9517,0.942
stgcn,clean,2026,58,walking towards each other,273,0.9939,0.9927
stgcn,clean,2026,59,walking apart from each other,276,0.9626,0.9601
stgcn,clean,3407,0,drink water,274,0.8759,0.8723
stgcn,clean,3407,1,eat meal/snack,275,0.7394,0.7455
stgcn,clean,3407,2,brushing teeth,273,0.8584,0.8681
stgcn,clean,3407,3,brushing hair,273,0.9048,0.9011
stgcn,clean,3407,4,drop,275,0.8315,0.8509
stgcn,clean,3407,5,pickup,275,0.9527,0.9564
stgcn,clean,3407,6,throw,275,0.9115,0.9164
stgcn,clean,3407,7,sitting down,273,0.9658,0.9707
stgcn,clean,3407,8,standing up (from sitting position),273,0.9805,0.9927
stgcn,clean,3407,9,clapping,273,0.7827,0.7949
stgcn,clean,3407,10,reading,273,0.6032,0.5897
stgcn,clean,3407,11,writing,272,0.5245,0.5515
stgcn,clean,3407,12,tear up paper,271,0.8954,0.8856
stgcn,clean,3407,13,wear jacket,275,0.983,0.9818
stgcn,clean,3407,14,take off jacket,276,0.9589,0.9601
stgcn,clean,3407,15,wear a shoe,273,0.6545,0.6484
stgcn,clean,3407,16,take off a shoe,274,0.7798,0.7883
stgcn,clean,3407,17,wear on glasses,273,0.906,0.9158
stgcn,clean,3407,18,take off glasses,274,0.9343,0.9197
stgcn,clean,3407,19,put on a hat/cap,272,0.9498,0.9449
stgcn,clean,3407,20,take off a hat/cap,273,0.9731,0.978
stgcn,clean,3407,21,cheer up,274,0.9234,0.9124
stgcn,clean,3407,22,hand waving,274,0.9063,0.9088
stgcn,clean,3407,23,kicking something,276,0.9372,0.9457
stgcn,clean,3407,24,reach into pocket,274,0.8358,0.8321
stgcn,clean,3407,25,hopping (one foot jumping),275,0.9879,0.9891
stgcn,clean,3407,26,jump up,276,0.9964,0.9964
stgcn,clean,3407,27,make a phone call/answer phone,275,0.8679,0.8509
stgcn,clean,3407,28,playing with phone/tablet,275,0.6824,0.6618
stgcn,clean,3407,29,typing on a keyboard,275,0.7515,0.7745
stgcn,clean,3407,30,pointing to something with finger,276,0.7585,0.7609
stgcn,clean,3407,31,taking a selfie,276,0.8925,0.8841
stgcn,clean,3407,32,check time (from watch),276,0.8829,0.8768
stgcn,clean,3407,33,rub two hands together,276,0.8829,0.8768
stgcn,clean,3407,34,nod head/bow,276,0.965,0.9674
stgcn,clean,3407,35,shake head,275,0.9418,0.9418
stgcn,clean,3407,36,wipe face,276,0.8321,0.8841
stgcn,clean,3407,37,salute,276,0.9179,0.9058
stgcn,clean,3407,38,put the palms together,276,0.9408,0.9529
stgcn,clean,3407,39,cross hands in front (say stop),276,0.8998,0.8804
stgcn,clean,3407,40,sneeze/cough,276,0.7379,0.7283
stgcn,clean,3407,41,staggering,276,0.9915,1.0
stgcn,clean,3407,42,falling,275,0.9855,0.9855
stgcn,clean,3407,43,touch head (headache),276,0.7657,0.7572
stgcn,clean,3407,44,touch chest (stomachache/heart pain),276,0.9058,0.9167
stgcn,clean,3407,45,touch back (backache),276,0.9263,0.9239
stgcn,clean,3407,46,touch neck (neckache),276,0.8816,0.8732
stgcn,clean,3407,47,nausea or vomiting condition,275,0.8509,0.8327
stgcn,clean,3407,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.92
stgcn,clean,3407,49,punching/slapping other person,274,0.8662,0.8686
stgcn,clean,3407,50,kicking other person,276,0.9167,0.9275
stgcn,clean,3407,51,pushing other person,276,0.971,0.971
stgcn,clean,3407,52,pat on back of other person,276,0.942,0.9457
