model,condition,seed,class_id,action,support,clean_accuracy,accuracy
stgcn,mixed_mild,2026,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.72
stgcn,mixed_mild,2026,49,punching/slapping other person,274,0.8662,0.4051
stgcn,mixed_mild,2026,50,kicking other person,276,0.9167,0.2174
stgcn,mixed_mild,2026,51,pushing other person,276,0.971,0.4601
stgcn,mixed_mild,2026,52,pat on back of other person,276,0.942,0.6957
stgcn,mixed_mild,2026,53,point finger at the other person,276,0.907,0.3333
stgcn,mixed_mild,2026,54,hugging other person,274,0.9757,0.7044
stgcn,mixed_mild,2026,55,giving something to other person,276,0.9348,0.4275
stgcn,mixed_mild,2026,56,touch other person's pocket,275,0.9285,0.2945
stgcn,mixed_mild,2026,57,handshaking,276,0.9517,0.3188
stgcn,mixed_mild,2026,58,walking towards each other,273,0.9939,0.5275
stgcn,mixed_mild,2026,59,walking apart from each other,276,0.9626,0.7428
stgcn,mixed_mild,3407,0,drink water,274,0.8759,0.4745
stgcn,mixed_mild,3407,1,eat meal/snack,275,0.7394,0.4618
stgcn,mixed_mild,3407,2,brushing teeth,273,0.8584,0.337
stgcn,mixed_mild,3407,3,brushing hair,273,0.9048,0.4103
stgcn,mixed_mild,3407,4,drop,275,0.8315,0.3891
stgcn,mixed_mild,3407,5,pickup,275,0.9527,0.7491
stgcn,mixed_mild,3407,6,throw,275,0.9115,0.6327
stgcn,mixed_mild,3407,7,sitting down,273,0.9658,0.7253
stgcn,mixed_mild,3407,8,standing up (from sitting position),273,0.9805,0.8498
stgcn,mixed_mild,3407,9,clapping,273,0.7827,0.4542
stgcn,mixed_mild,3407,10,reading,273,0.6032,0.1941
stgcn,mixed_mild,3407,11,writing,272,0.5245,0.2978
stgcn,mixed_mild,3407,12,tear up paper,271,0.8954,0.5055
stgcn,mixed_mild,3407,13,wear jacket,275,0.983,0.9236
stgcn,mixed_mild,3407,14,take off jacket,276,0.9589,0.8225
stgcn,mixed_mild,3407,15,wear a shoe,273,0.6545,0.3626
stgcn,mixed_mild,3407,16,take off a shoe,274,0.7798,0.4891
stgcn,mixed_mild,3407,17,wear on glasses,273,0.906,0.5568
stgcn,mixed_mild,3407,18,take off glasses,274,0.9343,0.5219
stgcn,mixed_mild,3407,19,put on a hat/cap,272,0.9498,0.5809
stgcn,mixed_mild,3407,20,take off a hat/cap,273,0.9731,0.619
stgcn,mixed_mild,3407,21,cheer up,274,0.9234,0.6642
stgcn,mixed_mild,3407,22,hand waving,274,0.9063,0.6423
stgcn,mixed_mild,3407,23,kicking something,276,0.9372,0.4964
stgcn,mixed_mild,3407,24,reach into pocket,274,0.8358,0.365
stgcn,mixed_mild,3407,25,hopping (one foot jumping),275,0.9879,0.6836
stgcn,mixed_mild,3407,26,jump up,276,0.9964,0.7754
stgcn,mixed_mild,3407,27,make a phone call/answer phone,275,0.8679,0.2509
stgcn,mixed_mild,3407,28,playing with phone/tablet,275,0.6824,0.2436
stgcn,mixed_mild,3407,29,typing on a keyboard,275,0.7515,0.7164
stgcn,mixed_mild,3407,30,pointing to something with finger,276,0.7585,0.5616
stgcn,mixed_mild,3407,31,taking a selfie,276,0.8925,0.5725
stgcn,mixed_mild,3407,32,check time (from watch),276,0.8829,0.6449
stgcn,mixed_mild,3407,33,rub two hands together,276,0.8829,0.3804
stgcn,mixed_mild,3407,34,nod head/bow,276,0.965,0.6884
stgcn,mixed_mild,3407,35,shake head,275,0.9418,0.4327
stgcn,mixed_mild,3407,36,wipe face,276,0.8321,0.2246
stgcn,mixed_mild,3407,37,salute,276,0.9179,0.4348
stgcn,mixed_mild,3407,38,put the palms together,276,0.9408,0.5036
stgcn,mixed_mild,3407,39,cross hands in front (say stop),276,0.8998,0.7536
stgcn,mixed_mild,3407,40,sneeze/cough,276,0.7379,0.3152
stgcn,mixed_mild,3407,41,staggering,276,0.9915,0.4058
stgcn,mixed_mild,3407,42,falling,275,0.9855,0.7745
stgcn,mixed_mild,3407,43,touch head (headache),276,0.7657,0.2319
stgcn,mixed_mild,3407,44,touch chest (stomachache/heart pain),276,0.9058,0.5072
stgcn,mixed_mild,3407,45,touch back (backache),276,0.9263,0.4638
stgcn,mixed_mild,3407,46,touch neck (neckache),276,0.8816,0.3768
stgcn,mixed_mild,3407,47,nausea or vomiting condition,275,0.8509,0.56
stgcn,mixed_mild,3407,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.8218
stgcn,mixed_mild,3407,49,punching/slapping other person,274,0.8662,0.5
stgcn,mixed_mild,3407,50,kicking other person,276,0.9167,0.3297
stgcn,mixed_mild,3407,51,pushing other person,276,0.971,0.4493
stgcn,mixed_mild,3407,52,pat on back of other person,276,0.942,0.558
stgcn,mixed_mild,3407,53,point finger at the other person,276,0.907,0.4855
stgcn,mixed_mild,3407,54,hugging other person,274,0.9757,0.7153
stgcn,mixed_mild,3407,55,giving something to other person,276,0.9348,0.4783
stgcn,mixed_mild,3407,56,touch other person's pocket,275,0.9285,0.4873
stgcn,mixed_mild,3407,57,handshaking,276,0.9517,0.471
stgcn,mixed_mild,3407,58,walking towards each other,273,0.9939,0.6447
stgcn,mixed_mild,3407,59,walking apart from each other,276,0.9626,0.8696
stgcn,joint_missing_moderate,255,0,drink water,274,0.8759,0.0219
stgcn,joint_missing_moderate,255,1,eat meal/snack,275,0.7394,0.0836
stgcn,joint_missing_moderate,255,2,brushing teeth,273,0.8584,0.0037
stgcn,joint_missing_moderate,255,3,brushing hair,273,0.9048,0.0183
stgcn,joint_missing_moderate,255,4,drop,275,0.8315,0.0036
stgcn,joint_missing_moderate,255,5,pickup,275,0.9527,0.5564
stgcn,joint_missing_moderate,255,6,throw,275,0.9115,0.16
stgcn,joint_missing_moderate,255,7,sitting down,273,0.9658,0.0183
stgcn,joint_missing_moderate,255,8,standing up (from sitting position),273,0.9805,0.5275
stgcn,joint_missing_moderate,255,9,clapping,273,0.7827,0.1465
stgcn,joint_missing_moderate,255,10,reading,273,0.6032,0.2015
stgcn,joint_missing_moderate,255,11,writing,272,0.5245,0.5368
stgcn,joint_missing_moderate,255,12,tear up paper,271,0.8954,0.1697
stgcn,joint_missing_moderate,255,13,wear jacket,275,0.983,0.9455
stgcn,joint_missing_moderate,255,14,take off jacket,276,0.9589,0.7536
stgcn,joint_missing_moderate,255,15,wear a shoe,273,0.6545,0.2088
stgcn,joint_missing_moderate,255,16,take off a shoe,274,0.7798,0.2956
stgcn,joint_missing_moderate,255,17,wear on glasses,273,0.906,0.2454
stgcn,joint_missing_moderate,255,18,take off glasses,274,0.9343,0.4197
stgcn,joint_missing_moderate,255,19,put on a hat/cap,272,0.9498,0.0956
stgcn,joint_missing_moderate,255,20,take off a hat/cap,273,0.9731,0.4249
stgcn,joint_missing_moderate,255,21,cheer up,274,0.9234,0.0766
stgcn,joint_missing_moderate,255,22,hand waving,274,0.9063,0.0182
stgcn,joint_missing_moderate,255,23,kicking something,276,0.9372,0.0036
stgcn,joint_missing_moderate,255,24,reach into pocket,274,0.8358,0.0
stgcn,joint_missing_moderate,255,25,hopping (one foot jumping),275,0.9879,0.0218
stgcn,joint_missing_moderate,255,26,jump up,276,0.9964,0.0471
stgcn,joint_missing_moderate,255,27,make a phone call/answer phone,275,0.8679,0.0036
stgcn,joint_missing_moderate,255,28,playing with phone/tablet,275,0.6824,0.1127
stgcn,joint_missing_moderate,255,29,typing on a keyboard,275,0.7515,0.64
stgcn,joint_missing_moderate,255,30,pointing to something with finger,276,0.7585,0.0688
stgcn,joint_missing_moderate,255,31,taking a selfie,276,0.8925,0.1377
stgcn,joint_missing_moderate,255,32,check time (from watch),276,0.8829,0.0181
stgcn,joint_missing_moderate,255,33,rub two hands together,276,0.8829,0.2101
stgcn,joint_missing_moderate,255,34,nod head/bow,276,0.965,0.3007
stgcn,joint_missing_moderate,255,35,shake head,275,0.9418,0.0073
stgcn,joint_missing_moderate,255,36,wipe face,276,0.8321,0.1703
stgcn,joint_missing_moderate,255,37,salute,276,0.9179,0.087
stgcn,joint_missing_moderate,255,38,put the palms together,276,0.9408,0.0326
stgcn,joint_missing_moderate,255,39,cross hands in front (say stop),276,0.8998,0.5725
stgcn,joint_missing_moderate,255,40,sneeze/cough,276,0.7379,0.0072
stgcn,joint_missing_moderate,255,41,staggering,276,0.9915,0.0109
stgcn,joint_missing_moderate,255,42,falling,275,0.9855,0.0727
stgcn,joint_missing_moderate,255,43,touch head (headache),276,0.7657,0.0217
stgcn,joint_missing_moderate,255,44,touch chest (stomachache/heart pain),276,0.9058,0.2065
stgcn,joint_missing_moderate,255,45,touch back (backache),276,0.9263,0.0326
stgcn,joint_missing_moderate,255,46,touch neck (neckache),276,0.8816,0.0072
stgcn,joint_missing_moderate,255,47,nausea or vomiting condition,275,0.8509,0.6182
stgcn,joint_missing_moderate,255,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.6073
stgcn,joint_missing_moderate,255,49,punching/slapping other person,274,0.8662,0.0109
stgcn,joint_missing_moderate,255,50,kicking other person,276,0.9167,0.0
stgcn,joint_missing_moderate,255,51,pushing other person,276,0.971,0.0109
stgcn,joint_missing_moderate,255,52,pat on back of other person,276,0.942,0.0072
stgcn,joint_missing_moderate,255,53,point finger at the other person,276,0.907,0.0072
stgcn,joint_missing_moderate,255,54,hugging other person,274,0.9757,0.0511
stgcn,joint_missing_moderate,255,55,giving something to other person,276,0.9348,0.029
stgcn,joint_missing_moderate,255,56,touch other person's pocket,275,0.9285,0.1636
stgcn,joint_missing_moderate,255,57,handshaking,276,0.9517,0.029
stgcn,joint_missing_moderate,255,58,walking towards each other,273,0.9939,0.0366
stgcn,joint_missing_moderate,255,59,walking apart from each other,276,0.9626,0.2609
stgcn,joint_missing_moderate,2026,0,drink water,274,0.8759,0.0109
stgcn,joint_missing_moderate,2026,1,eat meal/snack,275,0.7394,0.0218
stgcn,joint_missing_moderate,2026,2,brushing teeth,273,0.8584,0.0
stgcn,joint_missing_moderate,2026,3,brushing hair,273,0.9048,0.0037
stgcn,joint_missing_moderate,2026,4,drop,275,0.8315,0.0145
stgcn,joint_missing_moderate,2026,5,pickup,275,0.9527,0.3818
stgcn,joint_missing_moderate,2026,6,throw,275,0.9115,0.1236
stgcn,joint_missing_moderate,2026,7,sitting down,273,0.9658,0.1209
stgcn,joint_missing_moderate,2026,8,standing up (from sitting position),273,0.9805,0.4432
stgcn,joint_missing_moderate,2026,9,clapping,273,0.7827,0.3736
stgcn,joint_missing_moderate,2026,10,reading,273,0.6032,0.0
stgcn,joint_missing_moderate,2026,11,writing,272,0.5245,0.4301
stgcn,joint_missing_moderate,2026,12,tear up paper,271,0.8954,0.1144
stgcn,joint_missing_moderate,2026,13,wear jacket,275,0.983,0.56
stgcn,joint_missing_moderate,2026,14,take off jacket,276,0.9589,0.5942
stgcn,joint_missing_moderate,2026,15,wear a shoe,273,0.6545,0.1209
stgcn,joint_missing_moderate,2026,16,take off a shoe,274,0.7798,0.0949
stgcn,joint_missing_moderate,2026,17,wear on glasses,273,0.906,0.0147
stgcn,joint_missing_moderate,2026,18,take off glasses,274,0.9343,0.0438
stgcn,joint_missing_moderate,2026,19,put on a hat/cap,272,0.9498,0.0368
stgcn,joint_missing_moderate,2026,20,take off a hat/cap,273,0.9731,0.3626
stgcn,joint_missing_moderate,2026,21,cheer up,274,0.9234,0.0292
stgcn,joint_missing_moderate,2026,22,hand waving,274,0.9063,0.0219
stgcn,joint_missing_moderate,2026,23,kicking something,276,0.9372,0.0
stgcn,joint_missing_moderate,2026,24,reach into pocket,274,0.8358,0.0
stgcn,joint_missing_moderate,2026,25,hopping (one foot jumping),275,0.9879,0.2073
stgcn,joint_missing_moderate,2026,26,jump up,276,0.9964,0.5652
stgcn,joint_missing_moderate,2026,27,make a phone call/answer phone,275,0.8679,0.0
stgcn,joint_missing_moderate,2026,28,playing with phone/tablet,275,0.6824,0.3345
stgcn,joint_missing_moderate,2026,29,typing on a keyboard,275,0.7515,0.5927
stgcn,joint_missing_moderate,2026,30,pointing to something with finger,276,0.7585,0.2138
stgcn,joint_missing_moderate,2026,31,taking a selfie,276,0.8925,0.4094
stgcn,joint_missing_moderate,2026,32,check time (from watch),276,0.8829,0.2464
stgcn,joint_missing_moderate,2026,33,rub two hands together,276,0.8829,0.0181
stgcn,joint_missing_moderate,2026,34,nod head/bow,276,0.965,0.2645
stgcn,joint_missing_moderate,2026,35,shake head,275,0.9418,0.0073
stgcn,joint_missing_moderate,2026,36,wipe face,276,0.8321,0.0
stgcn,joint_missing_moderate,2026,37,salute,276,0.9179,0.0
stgcn,joint_missing_moderate,2026,38,put the palms together,276,0.9408,0.029
stgcn,joint_missing_moderate,2026,39,cross hands in front (say stop),276,0.8998,0.1703
stgcn,joint_missing_moderate,2026,40,sneeze/cough,276,0.7379,0.0145
stgcn,joint_missing_moderate,2026,41,staggering,276,0.9915,0.0
stgcn,joint_missing_moderate,2026,42,falling,275,0.9855,0.0109
stgcn,joint_missing_moderate,2026,43,touch head (headache),276,0.7657,0.029
stgcn,joint_missing_moderate,2026,44,touch chest (stomachache/heart pain),276,0.9058,0.1667
stgcn,joint_missing_moderate,2026,45,touch back (backache),276,0.9263,0.0362
stgcn,joint_missing_moderate,2026,46,touch neck (neckache),276,0.8816,0.0
stgcn,joint_missing_moderate,2026,47,nausea or vomiting condition,275,0.8509,0.5782
stgcn,joint_missing_moderate,2026,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.0036
stgcn,joint_missing_moderate,2026,49,punching/slapping other person,274,0.8662,0.0
stgcn,joint_missing_moderate,2026,50,kicking other person,276,0.9167,0.0
stgcn,joint_missing_moderate,2026,51,pushing other person,276,0.971,0.0254
stgcn,joint_missing_moderate,2026,52,pat on back of other person,276,0.942,0.0362
stgcn,joint_missing_moderate,2026,53,point finger at the other person,276,0.907,0.0
stgcn,joint_missing_moderate,2026,54,hugging other person,274,0.9757,0.208
stgcn,joint_missing_moderate,2026,55,giving something to other person,276,0.9348,0.0
stgcn,joint_missing_moderate,2026,56,touch other person's pocket,275,0.9285,0.0
stgcn,joint_missing_moderate,2026,57,handshaking,276,0.9517,0.0
stgcn,joint_missing_moderate,2026,58,walking towards each other,273,0.9939,0.0586
stgcn,joint_missing_moderate,2026,59,walking apart from each other,276,0.9626,0.0471
stgcn,joint_missing_moderate,3407,0,drink water,274,0.8759,0.062
stgcn,joint_missing_moderate,3407,1,eat meal/snack,275,0.7394,0.0764
stgcn,joint_missing_moderate,3407,2,brushing teeth,273,0.8584,0.011
stgcn,joint_missing_moderate,3407,3,brushing hair,273,0.9048,0.0256
stgcn,joint_missing_moderate,3407,4,drop,275,0.8315,0.0
stgcn,joint_missing_moderate,3407,5,pickup,275,0.9527,0.0655
stgcn,joint_missing_moderate,3407,6,throw,275,0.9115,0.1236
stgcn,joint_missing_moderate,3407,7,sitting down,273,0.9658,0.022
stgcn,joint_missing_moderate,3407,8,standing up (from sitting position),273,0.9805,0.5275
stgcn,joint_missing_moderate,3407,9,clapping,273,0.7827,0.022
stgcn,joint_missing_moderate,3407,10,reading,273,0.6032,0.0
stgcn,joint_missing_moderate,3407,11,writing,272,0.5245,0.125
stgcn,joint_missing_moderate,3407,12,tear up paper,271,0.8954,0.0775
stgcn,joint_missing_moderate,3407,13,wear jacket,275,0.983,0.8145
stgcn,joint_missing_moderate,3407,14,take off jacket,276,0.9589,0.5217
stgcn,joint_missing_moderate,3407,15,wear a shoe,273,0.6545,0.1099
stgcn,joint_missing_moderate,3407,16,take off a shoe,274,0.7798,0.0182
stgcn,joint_missing_moderate,3407,17,wear on glasses,273,0.906,0.2491
stgcn,joint_missing_moderate,3407,18,take off glasses,274,0.9343,0.0693
stgcn,joint_missing_moderate,3407,19,put on a hat/cap,272,0.9498,0.0294
stgcn,joint_missing_moderate,3407,20,take off a hat/cap,273,0.9731,0.2674
stgcn,joint_missing_moderate,3407,21,cheer up,274,0.9234,0.1058
stgcn,joint_missing_moderate,3407,22,hand waving,274,0.9063,0.0474
stgcn,joint_missing_moderate,3407,23,kicking something,276,0.9372,0.0833
stgcn,joint_missing_moderate,3407,24,reach into pocket,274,0.8358,0.0292
stgcn,joint_missing_moderate,3407,25,hopping (one foot jumping),275,0.9879,0.0618
stgcn,joint_missing_moderate,3407,26,jump up,276,0.9964,0.087
stgcn,joint_missing_moderate,3407,27,make a phone call/answer phone,275,0.8679,0.0
stgcn,joint_missing_moderate,3407,28,playing with phone/tablet,275,0.6824,0.0473
stgcn,joint_missing_moderate,3407,29,typing on a keyboard,275,0.7515,0.9018
stgcn,joint_missing_moderate,3407,30,pointing to something with finger,276,0.7585,0.4819
stgcn,joint_missing_moderate,3407,31,taking a selfie,276,0.8925,0.3804
stgcn,joint_missing_moderate,3407,32,check time (from watch),276,0.8829,0.3152
stgcn,joint_missing_moderate,3407,33,rub two hands together,276,0.8829,0.0181
stgcn,joint_missing_moderate,3407,34,nod head/bow,276,0.965,0.058
stgcn,joint_missing_moderate,3407,35,shake head,275,0.9418,0.0255
stgcn,joint_missing_moderate,3407,36,wipe face,276,0.8321,0.0036
stgcn,joint_missing_moderate,3407,37,salute,276,0.9179,0.0181
stgcn,joint_missing_moderate,3407,38,put the palms together,276,0.9408,0.0761
stgcn,joint_missing_moderate,3407,39,cross hands in front (say stop),276,0.8998,0.4565
stgcn,joint_missing_moderate,3407,40,sneeze/cough,276,0.7379,0.0036
stgcn,joint_missing_moderate,3407,41,staggering,276,0.9915,0.0
stgcn,joint_missing_moderate,3407,42,falling,275,0.9855,0.0218
stgcn,joint_missing_moderate,3407,43,touch head (headache),276,0.7657,0.0145
stgcn,joint_missing_moderate,3407,44,touch chest (stomachache/heart pain),276,0.9058,0.1196
stgcn,joint_missing_moderate,3407,45,touch back (backache),276,0.9263,0.0688
stgcn,joint_missing_moderate,3407,46,touch neck (neckache),276,0.8816,0.0217
stgcn,joint_missing_moderate,3407,47,nausea or vomiting condition,275,0.8509,0.1636
stgcn,joint_missing_moderate,3407,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.28
stgcn,joint_missing_moderate,3407,49,punching/slapping other person,274,0.8662,0.0036
stgcn,joint_missing_moderate,3407,50,kicking other person,276,0.9167,0.0
stgcn,joint_missing_moderate,3407,51,pushing other person,276,0.971,0.0
stgcn,joint_missing_moderate,3407,52,pat on back of other person,276,0.942,0.0
stgcn,joint_missing_moderate,3407,53,point finger at the other person,276,0.907,0.0217
stgcn,joint_missing_moderate,3407,54,hugging other person,274,0.9757,0.0876
stgcn,joint_missing_moderate,3407,55,giving something to other person,276,0.9348,0.0
stgcn,joint_missing_moderate,3407,56,touch other person's pocket,275,0.9285,0.0036
stgcn,joint_missing_moderate,3407,57,handshaking,276,0.9517,0.0
stgcn,joint_missing_moderate,3407,58,walking towards each other,273,0.9939,0.1685
stgcn,joint_missing_moderate,3407,59,walking apart from each other,276,0.9626,0.4529
stgcn,limb_occlusion_moderate,255,0,drink water,274,0.8759,0.5328
stgcn,limb_occlusion_moderate,255,1,eat meal/snack,275,0.7394,0.5091
stgcn,limb_occlusion_moderate,255,2,brushing teeth,273,0.8584,0.4872
stgcn,limb_occlusion_moderate,255,3,brushing hair,273,0.9048,0.6777
stgcn,limb_occlusion_moderate,255,4,drop,275,0.8315,0.6073
stgcn,limb_occlusion_moderate,255,5,pickup,275,0.9527,0.7091
stgcn,limb_occlusion_moderate,255,6,throw,275,0.9115,0.5927
stgcn,limb_occlusion_moderate,255,7,sitting down,273,0.9658,0.696
stgcn,limb_occlusion_moderate,255,8,standing up (from sitting position),273,0.9805,0.6484
stgcn,limb_occlusion_moderate,255,9,clapping,273,0.7827,0.5128
stgcn,limb_occlusion_moderate,255,10,reading,273,0.6032,0.4469
stgcn,limb_occlusion_moderate,255,11,writing,272,0.5245,0.3529
stgcn,limb_occlusion_moderate,255,12,tear up paper,271,0.8954,0.6863
stgcn,limb_occlusion_moderate,255,13,wear jacket,275,0.983,0.7855
stgcn,limb_occlusion_moderate,255,14,take off jacket,276,0.9589,0.7319
stgcn,limb_occlusion_moderate,255,15,wear a shoe,273,0.6545,0.3773
stgcn,limb_occlusion_moderate,255,16,take off a shoe,274,0.7798,0.5547
stgcn,limb_occlusion_moderate,255,17,wear on glasses,273,0.906,0.7106
stgcn,limb_occlusion_moderate,255,18,take off glasses,274,0.9343,0.7007
stgcn,limb_occlusion_moderate,255,19,put on a hat/cap,272,0.9498,0.5919
stgcn,limb_occlusion_moderate,255,20,take off a hat/cap,273,0.9731,0.5897
stgcn,limb_occlusion_moderate,255,21,cheer up,274,0.9234,0.6825
stgcn,limb_occlusion_moderate,255,22,hand waving,274,0.9063,0.5985
stgcn,limb_occlusion_moderate,255,23,kicking something,276,0.9372,0.8007
stgcn,limb_occlusion_moderate,255,24,reach into pocket,274,0.8358,0.6241
stgcn,limb_occlusion_moderate,255,25,hopping (one foot jumping),275,0.9879,0.9236
stgcn,limb_occlusion_moderate,255,26,jump up,276,0.9964,0.8768
stgcn,limb_occlusion_moderate,255,27,make a phone call/answer phone,275,0.8679,0.5927
stgcn,limb_occlusion_moderate,255,28,playing with phone/tablet,275,0.6824,0.5164
stgcn,limb_occlusion_moderate,255,29,typing on a keyboard,275,0.7515,0.5418
stgcn,limb_occlusion_moderate,255,30,pointing to something with finger,276,0.7585,0.5109
stgcn,limb_occlusion_moderate,255,31,taking a selfie,276,0.8925,0.5543
stgcn,limb_occlusion_moderate,255,32,check time (from watch),276,0.8829,0.5109
stgcn,limb_occlusion_moderate,255,33,rub two hands together,276,0.8829,0.6522
stgcn,limb_occlusion_moderate,255,34,nod head/bow,276,0.965,0.5942
stgcn,limb_occlusion_moderate,255,35,shake head,275,0.9418,0.68
stgcn,limb_occlusion_moderate,255,36,wipe face,276,0.8321,0.4239
stgcn,limb_occlusion_moderate,255,37,salute,276,0.9179,0.529
stgcn,limb_occlusion_moderate,255,38,put the palms together,276,0.9408,0.6232
stgcn,limb_occlusion_moderate,255,39,cross hands in front (say stop),276,0.8998,0.6123
stgcn,limb_occlusion_moderate,255,40,sneeze/cough,276,0.7379,0.3949
stgcn,limb_occlusion_moderate,255,41,staggering,276,0.9915,0.9167
stgcn,limb_occlusion_moderate,255,42,falling,275,0.9855,0.9382
stgcn,limb_occlusion_moderate,255,43,touch head (headache),276,0.7657,0.4493
stgcn,limb_occlusion_moderate,255,44,touch chest (stomachache/heart pain),276,0.9058,0.6993
stgcn,limb_occlusion_moderate,255,45,touch back (backache),276,0.9263,0.7572
stgcn,limb_occlusion_moderate,255,46,touch neck (neckache),276,0.8816,0.6486
stgcn,limb_occlusion_moderate,255,47,nausea or vomiting condition,275,0.8509,0.4982
stgcn,limb_occlusion_moderate,255,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.5855
stgcn,limb_occlusion_moderate,255,49,punching/slapping other person,274,0.8662,0.5511
stgcn,limb_occlusion_moderate,255,50,kicking other person,276,0.9167,0.5254
stgcn,limb_occlusion_moderate,255,51,pushing other person,276,0.971,0.779
stgcn,limb_occlusion_moderate,255,52,pat on back of other person,276,0.942,0.6232
stgcn,limb_occlusion_moderate,255,53,point finger at the other person,276,0.907,0.3225
stgcn,limb_occlusion_moderate,255,54,hugging other person,274,0.9757,0.708
stgcn,limb_occlusion_moderate,255,55,giving something to other person,276,0.9348,0.663
stgcn,limb_occlusion_moderate,255,56,touch other person's pocket,275,0.9285,0.7418
stgcn,limb_occlusion_moderate,255,57,handshaking,276,0.9517,0.6449
stgcn,limb_occlusion_moderate,255,58,walking towards each other,273,0.9939,0.9341
stgcn,limb_occlusion_moderate,255,59,walking apart from each other,276,0.9626,0.9312
stgcn,limb_occlusion_moderate,2026,0,drink water,274,0.8759,0.4854
stgcn,limb_occlusion_moderate,2026,1,eat meal/snack,275,0.7394,0.4436
stgcn,limb_occlusion_moderate,2026,2,brushing teeth,273,0.8584,0.5201
stgcn,limb_occlusion_moderate,2026,3,brushing hair,273,0.9048,0.63
stgcn,limb_occlusion_moderate,2026,4,drop,275,0.8315,0.6327
stgcn,limb_occlusion_moderate,2026,5,pickup,275,0.9527,0.5782
stgcn,limb_occlusion_moderate,2026,6,throw,275,0.9115,0.6182
stgcn,limb_occlusion_moderate,2026,7,sitting down,273,0.9658,0.7216
stgcn,limb_occlusion_moderate,2026,8,standing up (from sitting position),273,0.9805,0.6337
stgcn,limb_occlusion_moderate,2026,9,clapping,273,0.7827,0.5604
stgcn,limb_occlusion_moderate,2026,10,reading,273,0.6032,0.4029
stgcn,limb_occlusion_moderate,2026,11,writing,272,0.5245,0.5037
stgcn,limb_occlusion_moderate,2026,12,tear up paper,271,0.8954,0.6273
stgcn,limb_occlusion_moderate,2026,13,wear jacket,275,0.983,0.7236
stgcn,limb_occlusion_moderate,2026,14,take off jacket,276,0.9589,0.7572
stgcn,limb_occlusion_moderate,2026,15,wear a shoe,273,0.6545,0.3846
stgcn,limb_occlusion_moderate,2026,16,take off a shoe,274,0.7798,0.5036
stgcn,limb_occlusion_moderate,2026,17,wear on glasses,273,0.906,0.6667
stgcn,limb_occlusion_moderate,2026,18,take off glasses,274,0.9343,0.7336
stgcn,limb_occlusion_moderate,2026,19,put on a hat/cap,272,0.9498,0.5956
stgcn,limb_occlusion_moderate,2026,20,take off a hat/cap,273,0.9731,0.6044
stgcn,limb_occlusion_moderate,2026,21,cheer up,274,0.9234,0.6861
stgcn,limb_occlusion_moderate,2026,22,hand waving,274,0.9063,0.5766
stgcn,limb_occlusion_moderate,2026,23,kicking something,276,0.9372,0.692
stgcn,limb_occlusion_moderate,2026,24,reach into pocket,274,0.8358,0.6131
stgcn,limb_occlusion_moderate,2026,25,hopping (one foot jumping),275,0.9879,0.8945
stgcn,limb_occlusion_moderate,2026,26,jump up,276,0.9964,0.7428
stgcn,limb_occlusion_moderate,2026,27,make a phone call/answer phone,275,0.8679,0.5927
stgcn,limb_occlusion_moderate,2026,28,playing with phone/tablet,275,0.6824,0.4436
stgcn,limb_occlusion_moderate,2026,29,typing on a keyboard,275,0.7515,0.4691
stgcn,limb_occlusion_moderate,2026,30,pointing to something with finger,276,0.7585,0.4674
stgcn,limb_occlusion_moderate,2026,31,taking a selfie,276,0.8925,0.558
stgcn,limb_occlusion_moderate,2026,32,check time (from watch),276,0.8829,0.4601
stgcn,limb_occlusion_moderate,2026,33,rub two hands together,276,0.8829,0.6159
stgcn,limb_occlusion_moderate,2026,34,nod head/bow,276,0.965,0.5833
stgcn,limb_occlusion_moderate,2026,35,shake head,275,0.9418,0.6145
stgcn,limb_occlusion_moderate,2026,36,wipe face,276,0.8321,0.4529
stgcn,limb_occlusion_moderate,2026,37,salute,276,0.9179,0.5254
stgcn,limb_occlusion_moderate,2026,38,put the palms together,276,0.9408,0.663
stgcn,limb_occlusion_moderate,2026,39,cross hands in front (say stop),276,0.8998,0.5181
stgcn,limb_occlusion_moderate,2026,40,sneeze/cough,276,0.7379,0.3949
stgcn,limb_occlusion_moderate,2026,41,staggering,276,0.9915,0.8587
stgcn,limb_occlusion_moderate,2026,42,falling,275,0.9855,0.88
stgcn,limb_occlusion_moderate,2026,43,touch head (headache),276,0.7657,0.5145
stgcn,limb_occlusion_moderate,2026,44,touch chest (stomachache/heart pain),276,0.9058,0.6703
stgcn,limb_occlusion_moderate,2026,45,touch back (backache),276,0.9263,0.6594
stgcn,limb_occlusion_moderate,2026,46,touch neck (neckache),276,0.8816,0.587
stgcn,limb_occlusion_moderate,2026,47,nausea or vomiting condition,275,0.8509,0.5673
stgcn,limb_occlusion_moderate,2026,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.6073
stgcn,limb_occlusion_moderate,2026,49,punching/slapping other person,274,0.8662,0.5657
stgcn,limb_occlusion_moderate,2026,50,kicking other person,276,0.9167,0.4855
