model,condition,class_id,action,support,clean_accuracy,mean_accuracy,std_accuracy,absolute_drop
stgcn,joint_missing_mild,20,take off a hat/cap,273,0.9731,0.8791,0.0422,0.094
stgcn,joint_missing_mild,21,cheer up,274,0.9234,0.7105,0.0329,0.2129
stgcn,joint_missing_mild,22,hand waving,274,0.9063,0.6788,0.0285,0.2275
stgcn,joint_missing_mild,23,kicking something,276,0.9372,0.4553,0.1624,0.4819
stgcn,joint_missing_mild,24,reach into pocket,274,0.8358,0.4623,0.1064,0.3735
stgcn,joint_missing_mild,25,hopping (one foot jumping),275,0.9879,0.8655,0.0347,0.1224
stgcn,joint_missing_mild,26,jump up,276,0.9964,0.9601,0.0096,0.0362
stgcn,joint_missing_mild,27,make a phone call/answer phone,275,0.8679,0.3139,0.0973,0.5539
stgcn,joint_missing_mild,28,playing with phone/tablet,275,0.6824,0.3333,0.1011,0.3491
stgcn,joint_missing_mild,29,typing on a keyboard,275,0.7515,0.7818,0.0536,-0.0303
stgcn,joint_missing_mild,30,pointing to something with finger,276,0.7585,0.4336,0.0732,0.3249
stgcn,joint_missing_mild,31,taking a selfie,276,0.8925,0.6196,0.0254,0.2729
stgcn,joint_missing_mild,32,check time (from watch),276,0.8829,0.6872,0.1031,0.1957
stgcn,joint_missing_mild,33,rub two hands together,276,0.8829,0.6522,0.1045,0.2307
stgcn,joint_missing_mild,34,nod head/bow,276,0.965,0.843,0.0308,0.122
stgcn,joint_missing_mild,35,shake head,275,0.9418,0.5927,0.1892,0.3491
stgcn,joint_missing_mild,36,wipe face,276,0.8321,0.471,0.115,0.3611
stgcn,joint_missing_mild,37,salute,276,0.9179,0.5531,0.0858,0.3647
stgcn,joint_missing_mild,38,put the palms together,276,0.9408,0.4964,0.089,0.4444
stgcn,joint_missing_mild,39,cross hands in front (say stop),276,0.8998,0.9143,0.0435,-0.0145
stgcn,joint_missing_mild,40,sneeze/cough,276,0.7379,0.3792,0.0233,0.3587
stgcn,joint_missing_mild,41,staggering,276,0.9915,0.3261,0.1368,0.6655
stgcn,joint_missing_mild,42,falling,275,0.9855,0.7624,0.1725,0.223
stgcn,joint_missing_mild,43,touch head (headache),276,0.7657,0.3708,0.1174,0.3949
stgcn,joint_missing_mild,44,touch chest (stomachache/heart pain),276,0.9058,0.6957,0.049,0.2101
stgcn,joint_missing_mild,45,touch back (backache),276,0.9263,0.6244,0.0555,0.3019
stgcn,joint_missing_mild,46,touch neck (neckache),276,0.8816,0.4082,0.1559,0.4734
stgcn,joint_missing_mild,47,nausea or vomiting condition,275,0.8509,0.8024,0.0426,0.0485
stgcn,joint_missing_mild,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.9236,0.0504,0.0024
stgcn,joint_missing_mild,49,punching/slapping other person,274,0.8662,0.5669,0.1372,0.2993
stgcn,joint_missing_mild,50,kicking other person,276,0.9167,0.2512,0.168,0.6655
stgcn,joint_missing_mild,51,pushing other person,276,0.971,0.5616,0.0507,0.4094
stgcn,joint_missing_mild,52,pat on back of other person,276,0.942,0.5688,0.0637,0.3732
stgcn,joint_missing_mild,53,point finger at the other person,276,0.907,0.4662,0.1815,0.4408
stgcn,joint_missing_mild,54,hugging other person,274,0.9757,0.8358,0.0324,0.1399
stgcn,joint_missing_mild,55,giving something to other person,276,0.9348,0.6027,0.1048,0.3321
stgcn,joint_missing_mild,56,touch other person's pocket,275,0.9285,0.5406,0.2564,0.3879
