model,condition,class_id,action,support,clean_accuracy,mean_accuracy,std_accuracy,absolute_drop
stgcn,limb_occlusion_severe,35,shake head,275,0.9418,0.4133,0.0405,0.5285
stgcn,limb_occlusion_severe,36,wipe face,276,0.8321,0.2947,0.0327,0.5374
stgcn,limb_occlusion_severe,37,salute,276,0.9179,0.3587,0.0036,0.5592
stgcn,limb_occlusion_severe,38,put the palms together,276,0.9408,0.4553,0.0308,0.4855
stgcn,limb_occlusion_severe,39,cross hands in front (say stop),276,0.8998,0.3309,0.0617,0.5688
stgcn,limb_occlusion_severe,40,sneeze/cough,276,0.7379,0.2367,0.0146,0.5012
stgcn,limb_occlusion_severe,41,staggering,276,0.9915,0.6679,0.0822,0.3237
stgcn,limb_occlusion_severe,42,falling,275,0.9855,0.7006,0.0584,0.2848
stgcn,limb_occlusion_severe,43,touch head (headache),276,0.7657,0.3454,0.0295,0.4203
stgcn,limb_occlusion_severe,44,touch chest (stomachache/heart pain),276,0.9058,0.4952,0.0363,0.4106
stgcn,limb_occlusion_severe,45,touch back (backache),276,0.9263,0.5326,0.0629,0.3937
stgcn,limb_occlusion_severe,46,touch neck (neckache),276,0.8816,0.4251,0.0391,0.4565
stgcn,limb_occlusion_severe,47,nausea or vomiting condition,275,0.8509,0.3358,0.0473,0.5152
stgcn,limb_occlusion_severe,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.4024,0.0222,0.5236
stgcn,limb_occlusion_severe,49,punching/slapping other person,274,0.8662,0.3066,0.0385,0.5596
stgcn,limb_occlusion_severe,50,kicking other person,276,0.9167,0.1763,0.0163,0.7403
stgcn,limb_occlusion_severe,51,pushing other person,276,0.971,0.5,0.0474,0.471
stgcn,limb_occlusion_severe,52,pat on back of other person,276,0.942,0.3031,0.087,0.6389
stgcn,limb_occlusion_severe,53,point finger at the other person,276,0.907,0.1087,0.0316,0.7983
stgcn,limb_occlusion_severe,54,hugging other person,274,0.9757,0.3796,0.0312,0.5961
stgcn,limb_occlusion_severe,55,giving something to other person,276,0.9348,0.4529,0.0145,0.4819
stgcn,limb_occlusion_severe,56,touch other person's pocket,275,0.9285,0.4279,0.0455,0.5006
stgcn,limb_occlusion_severe,57,handshaking,276,0.9517,0.4203,0.0181,0.5314
stgcn,limb_occlusion_severe,58,walking towards each other,273,0.9939,0.8449,0.0786,0.149
stgcn,limb_occlusion_severe,59,walking apart from each other,276,0.9626,0.82,0.0525,0.1425
stgcn,coord_noise_severe,0,drink water,274,0.8759,0.0012,0.0021,0.8747
stgcn,coord_noise_severe,1,eat meal/snack,275,0.7394,0.0,0.0,0.7394
stgcn,coord_noise_severe,2,brushing teeth,273,0.8584,0.0,0.0,0.8584
stgcn,coord_noise_severe,3,brushing hair,273,0.9048,0.0012,0.0021,0.9035
stgcn,coord_noise_severe,4,drop,275,0.8315,0.0,0.0,0.8315
stgcn,coord_noise_severe,5,pickup,275,0.9527,0.177,0.1829,0.7758
stgcn,coord_noise_severe,6,throw,275,0.9115,0.0012,0.0021,0.9103
stgcn,coord_noise_severe,7,sitting down,273,0.9658,0.0562,0.079,0.9096
stgcn,coord_noise_severe,8,standing up (from sitting position),273,0.9805,0.1612,0.1373,0.8193
stgcn,coord_noise_severe,9,clapping,273,0.7827,0.0244,0.0202,0.7582
stgcn,coord_noise_severe,10,reading,273,0.6032,0.0073,0.0127,0.5958
stgcn,coord_noise_severe,11,writing,272,0.5245,0.7034,0.2212,-0.1789
stgcn,coord_noise_severe,12,tear up paper,271,0.8954,0.0025,0.0021,0.893
stgcn,coord_noise_severe,13,wear jacket,275,0.983,0.3976,0.474,0.5855
stgcn,coord_noise_severe,14,take off jacket,276,0.9589,0.006,0.0075,0.9529
stgcn,coord_noise_severe,15,wear a shoe,273,0.6545,0.083,0.0346,0.5714
stgcn,coord_noise_severe,16,take off a shoe,274,0.7798,0.0706,0.0528,0.7092
stgcn,coord_noise_severe,17,wear on glasses,273,0.906,0.0024,0.0021,0.9035
stgcn,coord_noise_severe,18,take off glasses,274,0.9343,0.0024,0.0042,0.9319
stgcn,coord_noise_severe,19,put on a hat/cap,272,0.9498,0.0,0.0,0.9498
stgcn,coord_noise_severe,20,take off a hat/cap,273,0.9731,0.0085,0.0118,0.9646
stgcn,coord_noise_severe,21,cheer up,274,0.9234,0.0024,0.0021,0.9209
stgcn,coord_noise_severe,22,hand waving,274,0.9063,0.0012,0.0021,0.9051
stgcn,coord_noise_severe,23,kicking something,276,0.9372,0.0048,0.0084,0.9324
stgcn,coord_noise_severe,24,reach into pocket,274,0.8358,0.0,0.0,0.8358
stgcn,coord_noise_severe,25,hopping (one foot jumping),275,0.9879,0.0,0.0,0.9879
stgcn,coord_noise_severe,26,jump up,276,0.9964,0.0,0.0,0.9964
stgcn,coord_noise_severe,27,make a phone call/answer phone,275,0.8679,0.0,0.0,0.8679
stgcn,coord_noise_severe,28,playing with phone/tablet,275,0.6824,0.0727,0.1228,0.6097
stgcn,coord_noise_severe,29,typing on a keyboard,275,0.7515,0.28,0.2116,0.4715
stgcn,coord_noise_severe,30,pointing to something with finger,276,0.7585,0.0495,0.0678,0.7089
stgcn,coord_noise_severe,31,taking a selfie,276,0.8925,0.0423,0.0576,0.8502
stgcn,coord_noise_severe,32,check time (from watch),276,0.8829,0.0036,0.0036,0.8792
stgcn,coord_noise_severe,33,rub two hands together,276,0.8829,0.0,0.0,0.8829
stgcn,coord_noise_severe,34,nod head/bow,276,0.965,0.0024,0.0042,0.9626
stgcn,coord_noise_severe,35,shake head,275,0.9418,0.0024,0.0042,0.9394
stgcn,coord_noise_severe,36,wipe face,276,0.8321,0.0,0.0,0.8321
stgcn,coord_noise_severe,37,salute,276,0.9179,0.0,0.0,0.9179
stgcn,coord_noise_severe,38,put the palms together,276,0.9408,0.0,0.0,0.9408
stgcn,coord_noise_severe,39,cross hands in front (say stop),276,0.8998,0.0374,0.0293,0.8623
stgcn,coord_noise_severe,40,sneeze/cough,276,0.7379,0.0,0.0,0.7379
stgcn,coord_noise_severe,41,staggering,276,0.9915,0.0,0.0,0.9915
stgcn,coord_noise_severe,42,falling,275,0.9855,0.0582,0.0492,0.9273
stgcn,coord_noise_severe,43,touch head (headache),276,0.7657,0.0012,0.0021,0.7645
stgcn,coord_noise_severe,44,touch chest (stomachache/heart pain),276,0.9058,0.0,0.0,0.9058
stgcn,coord_noise_severe,45,touch back (backache),276,0.9263,0.0374,0.0401,0.8889
stgcn,coord_noise_severe,46,touch neck (neckache),276,0.8816,0.0,0.0,0.8816
stgcn,coord_noise_severe,47,nausea or vomiting condition,275,0.8509,0.0473,0.0585,0.8036
stgcn,coord_noise_severe,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.0921,0.108,0.8339
stgcn,coord_noise_severe,49,punching/slapping other person,274,0.8662,0.0012,0.0021,0.865
stgcn,coord_noise_severe,50,kicking other person,276,0.9167,0.0,0.0,0.9167
stgcn,coord_noise_severe,51,pushing other person,276,0.971,0.0,0.0,0.971
stgcn,coord_noise_severe,52,pat on back of other person,276,0.942,0.0157,0.0163,0.9263
stgcn,coord_noise_severe,53,point finger at the other person,276,0.907,0.0157,0.0272,0.8913
stgcn,coord_noise_severe,54,hugging other person,274,0.9757,0.062,0.1075,0.9136
stgcn,coord_noise_severe,55,giving something to other person,276,0.9348,0.0,0.0,0.9348
stgcn,coord_noise_severe,56,touch other person's pocket,275,0.9285,0.0012,0.0021,0.9273
stgcn,coord_noise_severe,57,handshaking,276,0.9517,0.0,0.0,0.9517
stgcn,coord_noise_severe,58,walking towards each other,273,0.9939,0.4408,0.2047,0.5531
stgcn,coord_noise_severe,59,walking apart from each other,276,0.9626,0.3176,0.5408,0.6449
stgcn,frame_missing_severe,0,drink water,274,0.8759,0.562,0.0825,0.3139
stgcn,frame_missing_severe,1,eat meal/snack,275,0.7394,0.3709,0.0679,0.3685
stgcn,frame_missing_severe,2,brushing teeth,273,0.8584,0.5824,0.0564,0.2759
stgcn,frame_missing_severe,3,brushing hair,273,0.9048,0.6178,0.0464,0.2869
stgcn,frame_missing_severe,4,drop,275,0.8315,0.8085,0.0437,0.023
stgcn,frame_missing_severe,5,pickup,275,0.9527,0.6958,0.0294,0.257
stgcn,frame_missing_severe,6,throw,275,0.9115,0.6848,0.0187,0.2267
stgcn,frame_missing_severe,7,sitting down,273,0.9658,0.779,0.0148,0.1868
stgcn,frame_missing_severe,8,standing up (from sitting position),273,0.9805,0.8132,0.0818,0.1673
stgcn,frame_missing_severe,9,clapping,273,0.7827,0.4591,0.0312,0.3236
stgcn,frame_missing_severe,10,reading,273,0.6032,0.3565,0.0551,0.2466
stgcn,frame_missing_severe,11,writing,272,0.5245,0.1275,0.0478,0.3971
stgcn,frame_missing_severe,12,tear up paper,271,0.8954,0.6716,0.061,0.2239
stgcn,frame_missing_severe,13,wear jacket,275,0.983,0.8558,0.0414,0.1273
stgcn,frame_missing_severe,14,take off jacket,276,0.9589,0.8647,0.02,0.0942
stgcn,frame_missing_severe,15,wear a shoe,273,0.6545,0.4237,0.0508,0.2308
stgcn,frame_missing_severe,16,take off a shoe,274,0.7798,0.3869,0.0895,0.3929
stgcn,frame_missing_severe,17,wear on glasses,273,0.906,0.4505,0.0772,0.4554
stgcn,frame_missing_severe,18,take off glasses,274,0.9343,0.4221,0.0643,0.5122
stgcn,frame_missing_severe,19,put on a hat/cap,272,0.9498,0.7953,0.0139,0.1544
stgcn,frame_missing_severe,20,take off a hat/cap,273,0.9731,0.5751,0.0319,0.398
stgcn,frame_missing_severe,21,cheer up,274,0.9234,0.8418,0.0117,0.0815
stgcn,frame_missing_severe,22,hand waving,274,0.9063,0.7725,0.0534,0.1338
stgcn,frame_missing_severe,23,kicking something,276,0.9372,0.5954,0.1251,0.3418
stgcn,frame_missing_severe,24,reach into pocket,274,0.8358,0.4818,0.0239,0.354
stgcn,frame_missing_severe,25,hopping (one foot jumping),275,0.9879,0.8024,0.0172,0.1855
stgcn,frame_missing_severe,26,jump up,276,0.9964,0.6498,0.0456,0.3466
stgcn,frame_missing_severe,27,make a phone call/answer phone,275,0.8679,0.5527,0.1202,0.3152
stgcn,frame_missing_severe,28,playing with phone/tablet,275,0.6824,0.2364,0.0473,0.4461
stgcn,frame_missing_severe,29,typing on a keyboard,275,0.7515,0.6667,0.0661,0.0848
stgcn,frame_missing_severe,30,pointing to something with finger,276,0.7585,0.6667,0.0749,0.0918
stgcn,frame_missing_severe,31,taking a selfie,276,0.8925,0.5374,0.1357,0.3551
stgcn,frame_missing_severe,32,check time (from watch),276,0.8829,0.5109,0.0816,0.372
stgcn,frame_missing_severe,33,rub two hands together,276,0.8829,0.494,0.0384,0.3889
stgcn,frame_missing_severe,34,nod head/bow,276,0.965,0.8829,0.0055,0.0821
stgcn,frame_missing_severe,35,shake head,275,0.9418,0.4267,0.0296,0.5152
stgcn,frame_missing_severe,36,wipe face,276,0.8321,0.5133,0.0696,0.3188
stgcn,frame_missing_severe,37,salute,276,0.9179,0.7572,0.0523,0.1606
stgcn,frame_missing_severe,38,put the palms together,276,0.9408,0.4094,0.0498,0.5314
stgcn,frame_missing_severe,39,cross hands in front (say stop),276,0.8998,0.4614,0.0302,0.4384
stgcn,frame_missing_severe,40,sneeze/cough,276,0.7379,0.3708,0.0804,0.3671
stgcn,frame_missing_severe,41,staggering,276,0.9915,0.5386,0.1349,0.4529
stgcn,frame_missing_severe,42,falling,275,0.9855,0.8327,0.0621,0.1527
stgcn,frame_missing_severe,43,touch head (headache),276,0.7657,0.4843,0.0787,0.2814
stgcn,frame_missing_severe,44,touch chest (stomachache/heart pain),276,0.9058,0.7681,0.0383,0.1377
stgcn,frame_missing_severe,45,touch back (backache),276,0.9263,0.7838,0.1079,0.1425
stgcn,frame_missing_severe,46,touch neck (neckache),276,0.8816,0.4517,0.0438,0.43
stgcn,frame_missing_severe,47,nausea or vomiting condition,275,0.8509,0.4752,0.0736,0.3758
stgcn,frame_missing_severe,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.7988,0.0818,0.1273
stgcn,frame_missing_severe,49,punching/slapping other person,274,0.8662,0.4282,0.0337,0.438
stgcn,frame_missing_severe,50,kicking other person,276,0.9167,0.6171,0.1006,0.2995
stgcn,frame_missing_severe,51,pushing other person,276,0.971,0.5085,0.0846,0.4626
stgcn,frame_missing_severe,52,pat on back of other person,276,0.942,0.7295,0.0736,0.2126
stgcn,frame_missing_severe,53,point finger at the other person,276,0.907,0.4251,0.2096,0.4819
stgcn,frame_missing_severe,54,hugging other person,274,0.9757,0.8625,0.0423,0.1131
stgcn,frame_missing_severe,55,giving something to other person,276,0.9348,0.6486,0.0439,0.2862
stgcn,frame_missing_severe,56,touch other person's pocket,275,0.9285,0.6073,0.0441,0.3212
stgcn,frame_missing_severe,57,handshaking,276,0.9517,0.506,0.0459,0.4457
stgcn,frame_missing_severe,58,walking towards each other,273,0.9939,0.9096,0.0257,0.0842
stgcn,frame_missing_severe,59,walking apart from each other,276,0.9626,0.9263,0.0163,0.0362
stgcn,mixed_severe,0,drink water,274,0.8759,0.1131,0.0036,0.7628
stgcn,mixed_severe,1,eat meal/snack,275,0.7394,0.0739,0.0056,0.6655
stgcn,mixed_severe,2,brushing teeth,273,0.8584,0.0574,0.0042,0.801
stgcn,mixed_severe,3,brushing hair,273,0.9048,0.1172,0.0097,0.7875
stgcn,mixed_severe,4,drop,275,0.8315,0.1479,0.02,0.6836
stgcn,mixed_severe,5,pickup,275,0.9527,0.1612,0.0502,0.7915
stgcn,mixed_severe,6,throw,275,0.9115,0.1576,0.0056,0.7539
stgcn,mixed_severe,7,sitting down,273,0.9658,0.1294,0.0153,0.8364
stgcn,mixed_severe,8,standing up (from sitting position),273,0.9805,0.1575,0.0319,0.823
stgcn,mixed_severe,9,clapping,273,0.7827,0.072,0.0224,0.7106
stgcn,mixed_severe,10,reading,273,0.6032,0.0928,0.0184,0.5104
stgcn,mixed_severe,11,writing,272,0.5245,0.3885,0.1135,0.136
stgcn,mixed_severe,12,tear up paper,271,0.8954,0.1242,0.0351,0.7712
stgcn,mixed_severe,13,wear jacket,275,0.983,0.2327,0.1407,0.7503
stgcn,mixed_severe,14,take off jacket,276,0.9589,0.1667,0.0036,0.7923
stgcn,mixed_severe,15,wear a shoe,273,0.6545,0.0781,0.0312,0.5763
stgcn,mixed_severe,16,take off a shoe,274,0.7798,0.1399,0.0704,0.6399
stgcn,mixed_severe,17,wear on glasses,273,0.906,0.0867,0.0139,0.8193
stgcn,mixed_severe,18,take off glasses,274,0.9343,0.0937,0.0147,0.8406
stgcn,mixed_severe,19,put on a hat/cap,272,0.9498,0.163,0.0212,0.7868
stgcn,mixed_severe,20,take off a hat/cap,273,0.9731,0.149,0.0238,0.8242
stgcn,mixed_severe,21,cheer up,274,0.9234,0.1703,0.0446,0.753
stgcn,mixed_severe,22,hand waving,274,0.9063,0.1959,0.018,0.7105
stgcn,mixed_severe,23,kicking something,276,0.9372,0.1051,0.0261,0.8321
stgcn,mixed_severe,24,reach into pocket,274,0.8358,0.0937,0.0056,0.7421
stgcn,mixed_severe,25,hopping (one foot jumping),275,0.9879,0.1576,0.0042,0.8303
stgcn,mixed_severe,26,jump up,276,0.9964,0.1643,0.0171,0.8321
stgcn,mixed_severe,27,make a phone call/answer phone,275,0.8679,0.0836,0.0192,0.7842
stgcn,mixed_severe,28,playing with phone/tablet,275,0.6824,0.1467,0.0794,0.5358
stgcn,mixed_severe,29,typing on a keyboard,275,0.7515,0.4267,0.1055,0.3248
stgcn,mixed_severe,30,pointing to something with finger,276,0.7585,0.1606,0.0613,0.5978
stgcn,mixed_severe,31,taking a selfie,276,0.8925,0.1715,0.0726,0.721
stgcn,mixed_severe,32,check time (from watch),276,0.8829,0.099,0.02,0.7838
stgcn,mixed_severe,33,rub two hands together,276,0.8829,0.0725,0.0158,0.8104
stgcn,mixed_severe,34,nod head/bow,276,0.965,0.1437,0.0042,0.8213
stgcn,mixed_severe,35,shake head,275,0.9418,0.0812,0.0092,0.8606
stgcn,mixed_severe,36,wipe face,276,0.8321,0.087,0.0036,0.7452
stgcn,mixed_severe,37,salute,276,0.9179,0.122,0.0021,0.7959
stgcn,mixed_severe,38,put the palms together,276,0.9408,0.0688,0.0036,0.872
stgcn,mixed_severe,39,cross hands in front (say stop),276,0.8998,0.0773,0.0182,0.8225
stgcn,mixed_severe,40,sneeze/cough,276,0.7379,0.0386,0.0111,0.6993
stgcn,mixed_severe,41,staggering,276,0.9915,0.1075,0.0312,0.8841
stgcn,mixed_severe,42,falling,275,0.9855,0.1418,0.0238,0.8436
stgcn,mixed_severe,43,touch head (headache),276,0.7657,0.087,0.0188,0.6787
stgcn,mixed_severe,44,touch chest (stomachache/heart pain),276,0.9058,0.1316,0.0084,0.7742
stgcn,mixed_severe,45,touch back (backache),276,0.9263,0.1618,0.0435,0.7645
stgcn,mixed_severe,46,touch neck (neckache),276,0.8816,0.0797,0.0063,0.8019
stgcn,mixed_severe,47,nausea or vomiting condition,275,0.8509,0.0836,0.0252,0.7673
stgcn,mixed_severe,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.1745,0.0528,0.7515
stgcn,mixed_severe,49,punching/slapping other person,274,0.8662,0.0669,0.0056,0.7993
stgcn,mixed_severe,50,kicking other person,276,0.9167,0.0749,0.0206,0.8418
stgcn,mixed_severe,51,pushing other person,276,0.971,0.0882,0.0212,0.8829
stgcn,mixed_severe,52,pat on back of other person,276,0.942,0.1377,0.0507,0.8043
stgcn,mixed_severe,53,point finger at the other person,276,0.907,0.058,0.0326,0.849
stgcn,mixed_severe,54,hugging other person,274,0.9757,0.2032,0.0532,0.7725
stgcn,mixed_severe,55,giving something to other person,276,0.9348,0.1159,0.0096,0.8188
stgcn,mixed_severe,56,touch other person's pocket,275,0.9285,0.1297,0.0385,0.7988
stgcn,mixed_severe,57,handshaking,276,0.9517,0.1292,0.0116,0.8225
stgcn,mixed_severe,58,walking towards each other,273,0.9939,0.2308,0.0319,0.7631
stgcn,mixed_severe,59,walking apart from each other,276,0.9626,0.2246,0.094,0.7379
stgcnpp,clean,0,drink water,274,0.8637,0.8637,0.0208,0.0
stgcnpp,clean,1,eat meal/snack,275,0.7382,0.7382,0.0109,0.0
stgcnpp,clean,2,brushing teeth,273,0.8694,0.8694,0.0076,0.0
stgcnpp,clean,3,brushing hair,273,0.9267,0.9267,0.0132,0.0
stgcnpp,clean,4,drop,275,0.8848,0.8848,0.0117,0.0
stgcnpp,clean,5,pickup,275,0.9576,0.9576,0.0138,0.0
stgcnpp,clean,6,throw,275,0.9115,0.9115,0.0084,0.0
stgcnpp,clean,7,sitting down,273,0.9707,0.9707,0.0063,0.0
stgcnpp,clean,8,standing up (from sitting position),273,0.9792,0.9792,0.0042,0.0
stgcnpp,clean,9,clapping,273,0.812,0.812,0.0442,0.0
stgcnpp,clean,10,reading,273,0.5873,0.5873,0.0265,0.0
stgcnpp,clean,11,writing,272,0.5907,0.5907,0.0502,0.0
stgcnpp,clean,12,tear up paper,271,0.9139,0.9139,0.0119,0.0
stgcnpp,clean,13,wear jacket,275,0.983,0.983,0.0021,0.0
stgcnpp,clean,14,take off jacket,276,0.9734,0.9734,0.0084,0.0
stgcnpp,clean,15,wear a shoe,273,0.7131,0.7131,0.0513,0.0
stgcnpp,clean,16,take off a shoe,274,0.7798,0.7798,0.0339,0.0
stgcnpp,clean,17,wear on glasses,273,0.9206,0.9206,0.0112,0.0
stgcnpp,clean,18,take off glasses,274,0.9526,0.9526,0.0109,0.0
stgcnpp,clean,19,put on a hat/cap,272,0.9681,0.9681,0.0056,0.0
stgcnpp,clean,20,take off a hat/cap,273,0.9744,0.9744,0.0037,0.0
stgcnpp,clean,21,cheer up,274,0.9367,0.9367,0.0111,0.0
stgcnpp,clean,22,hand waving,274,0.9221,0.9221,0.0056,0.0
stgcnpp,clean,23,kicking something,276,0.9432,0.9432,0.0267,0.0
stgcnpp,clean,24,reach into pocket,274,0.8285,0.8285,0.0159,0.0
stgcnpp,clean,25,hopping (one foot jumping),275,0.9879,0.9879,0.0021,0.0
stgcnpp,clean,26,jump up,276,0.9988,0.9988,0.0021,0.0
stgcnpp,clean,27,make a phone call/answer phone,275,0.8933,0.8933,0.0084,0.0
stgcnpp,clean,28,playing with phone/tablet,275,0.7321,0.7321,0.02,0.0
stgcnpp,clean,29,typing on a keyboard,275,0.7309,0.7309,0.0063,0.0
stgcnpp,clean,30,pointing to something with finger,276,0.7766,0.7766,0.0084,0.0
stgcnpp,clean,31,taking a selfie,276,0.8925,0.8925,0.0241,0.0
stgcnpp,clean,32,check time (from watch),276,0.8973,0.8973,0.0137,0.0
stgcnpp,clean,33,rub two hands together,276,0.8913,0.8913,0.0181,0.0
stgcnpp,clean,34,nod head/bow,276,0.9674,0.9674,0.0063,0.0
stgcnpp,clean,35,shake head,275,0.9467,0.9467,0.0021,0.0
stgcnpp,clean,36,wipe face,276,0.8829,0.8829,0.0105,0.0
stgcnpp,clean,37,salute,276,0.9275,0.9275,0.0096,0.0
stgcnpp,clean,38,put the palms together,276,0.9348,0.9348,0.0158,0.0
stgcnpp,clean,39,cross hands in front (say stop),276,0.936,0.936,0.0137,0.0
stgcnpp,clean,40,sneeze/cough,276,0.7633,0.7633,0.0091,0.0
stgcnpp,clean,41,staggering,276,0.9952,0.9952,0.0055,0.0
stgcnpp,clean,42,falling,275,0.9891,0.9891,0.0036,0.0
stgcnpp,clean,43,touch head (headache),276,0.8164,0.8164,0.0387,0.0
stgcnpp,clean,44,touch chest (stomachache/heart pain),276,0.9312,0.9312,0.0226,0.0
stgcnpp,clean,45,touch back (backache),276,0.9312,0.9312,0.0036,0.0
stgcnpp,clean,46,touch neck (neckache),276,0.843,0.843,0.0182,0.0
stgcnpp,clean,47,nausea or vomiting condition,275,0.8448,0.8448,0.0147,0.0
stgcnpp,clean,48,use a fan (with hand or paper)/feeling warm,275,0.9224,0.9224,0.0168,0.0
stgcnpp,clean,49,punching/slapping other person,274,0.9027,0.9027,0.0021,0.0
stgcnpp,clean,50,kicking other person,276,0.936,0.936,0.0055,0.0
stgcnpp,clean,51,pushing other person,276,0.9601,0.9601,0.0063,0.0
stgcnpp,clean,52,pat on back of other person,276,0.9239,0.9239,0.0096,0.0
stgcnpp,clean,53,point finger at the other person,276,0.9058,0.9058,0.0192,0.0
stgcnpp,clean,54,hugging other person,274,0.983,0.983,0.0076,0.0
stgcnpp,clean,55,giving something to other person,276,0.9312,0.9312,0.0126,0.0
stgcnpp,clean,56,touch other person's pocket,275,0.9394,0.9394,0.0021,0.0
stgcnpp,clean,57,handshaking,276,0.9577,0.9577,0.0075,0.0
stgcnpp,clean,58,walking towards each other,273,0.9951,0.9951,0.0021,0.0
stgcnpp,clean,59,walking apart from each other,276,0.9686,0.9686,0.0021,0.0
stgcnpp,joint_missing_mild,0,drink water,274,0.8637,0.8662,0.0105,-0.0024
stgcnpp,joint_missing_mild,1,eat meal/snack,275,0.7382,0.5939,0.0426,0.1442
stgcnpp,joint_missing_mild,2,brushing teeth,273,0.8694,0.6178,0.1385,0.2515
stgcnpp,joint_missing_mild,3,brushing hair,273,0.9267,0.768,0.0488,0.1587
stgcnpp,joint_missing_mild,4,drop,275,0.8848,0.6473,0.0192,0.2376
stgcnpp,joint_missing_mild,5,pickup,275,0.9576,0.8327,0.0812,0.1248
stgcnpp,joint_missing_mild,6,throw,275,0.9115,0.6873,0.0262,0.2242
stgcnpp,joint_missing_mild,7,sitting down,273,0.9707,0.9133,0.0555,0.0574
stgcnpp,joint_missing_mild,8,standing up (from sitting position),273,0.9792,0.9548,0.0085,0.0244
stgcnpp,joint_missing_mild,9,clapping,273,0.812,0.6252,0.0385,0.1868
stgcnpp,joint_missing_mild,10,reading,273,0.5873,0.4689,0.0902,0.1184
stgcnpp,joint_missing_mild,11,writing,272,0.5907,0.5404,0.1613,0.0502
stgcnpp,joint_missing_mild,12,tear up paper,271,0.9139,0.7097,0.0693,0.2042
stgcnpp,joint_missing_mild,13,wear jacket,275,0.983,0.9879,0.0042,-0.0048
stgcnpp,joint_missing_mild,14,take off jacket,276,0.9734,0.936,0.0277,0.0374
stgcnpp,joint_missing_mild,15,wear a shoe,273,0.7131,0.7302,0.0885,-0.0171
stgcnpp,joint_missing_mild,16,take off a shoe,274,0.7798,0.5596,0.0699,0.2202
stgcnpp,joint_missing_mild,17,wear on glasses,273,0.9206,0.8217,0.0478,0.0989
stgcnpp,joint_missing_mild,18,take off glasses,274,0.9526,0.854,0.0276,0.0985
stgcnpp,joint_missing_mild,19,put on a hat/cap,272,0.9681,0.875,0.0351,0.0931
stgcnpp,joint_missing_mild,20,take off a hat/cap,273,0.9744,0.9194,0.011,0.0549
stgcnpp,joint_missing_mild,21,cheer up,274,0.9367,0.8333,0.0184,0.1034
stgcnpp,joint_missing_mild,22,hand waving,274,0.9221,0.7482,0.0395,0.174
stgcnpp,joint_missing_mild,23,kicking something,276,0.9432,0.6836,0.0966,0.2597
stgcnpp,joint_missing_mild,24,reach into pocket,274,0.8285,0.5669,0.1518,0.2616
stgcnpp,joint_missing_mild,25,hopping (one foot jumping),275,0.9879,0.9539,0.0056,0.0339
stgcnpp,joint_missing_mild,26,jump up,276,0.9988,0.9771,0.0091,0.0217
stgcnpp,joint_missing_mild,27,make a phone call/answer phone,275,0.8933,0.5709,0.0393,0.3224
stgcnpp,joint_missing_mild,28,playing with phone/tablet,275,0.7321,0.5309,0.171,0.2012
stgcnpp,joint_missing_mild,29,typing on a keyboard,275,0.7309,0.6,0.12,0.1309
stgcnpp,joint_missing_mild,30,pointing to something with finger,276,0.7766,0.4722,0.0674,0.3043
stgcnpp,joint_missing_mild,31,taking a selfie,276,0.8925,0.7971,0.0453,0.0954
stgcnpp,joint_missing_mild,32,check time (from watch),276,0.8973,0.6981,0.0447,0.1993
stgcnpp,joint_missing_mild,33,rub two hands together,276,0.8913,0.6232,0.1217,0.2681
stgcnpp,joint_missing_mild,34,nod head/bow,276,0.9674,0.901,0.0325,0.0664
stgcnpp,joint_missing_mild,35,shake head,275,0.9467,0.3552,0.08,0.5915
stgcnpp,joint_missing_mild,36,wipe face,276,0.8829,0.5725,0.1214,0.3104
stgcnpp,joint_missing_mild,37,salute,276,0.9275,0.8031,0.1075,0.1244
stgcnpp,joint_missing_mild,38,put the palms together,276,0.9348,0.7657,0.0613,0.1691
stgcnpp,joint_missing_mild,39,cross hands in front (say stop),276,0.936,0.9106,0.0111,0.0254
stgcnpp,joint_missing_mild,40,sneeze/cough,276,0.7633,0.5519,0.0487,0.2114
stgcnpp,joint_missing_mild,41,staggering,276,0.9952,0.5833,0.069,0.4118
stgcnpp,joint_missing_mild,42,falling,275,0.9891,0.8739,0.0873,0.1152
stgcnpp,joint_missing_mild,43,touch head (headache),276,0.8164,0.4928,0.0454,0.3237
stgcnpp,joint_missing_mild,44,touch chest (stomachache/heart pain),276,0.9312,0.8188,0.0322,0.1123
stgcnpp,joint_missing_mild,45,touch back (backache),276,0.9312,0.593,0.2415,0.3382
stgcnpp,joint_missing_mild,46,touch neck (neckache),276,0.843,0.4457,0.0807,0.3973
stgcnpp,joint_missing_mild,47,nausea or vomiting condition,275,0.8448,0.823,0.0092,0.0218
stgcnpp,joint_missing_mild,48,use a fan (with hand or paper)/feeling warm,275,0.9224,0.9394,0.0179,-0.017
stgcnpp,joint_missing_mild,49,punching/slapping other person,274,0.9027,0.4392,0.1035,0.4635
stgcnpp,joint_missing_mild,50,kicking other person,276,0.936,0.3877,0.1854,0.5483
stgcnpp,joint_missing_mild,51,pushing other person,276,0.9601,0.5157,0.1048,0.4444
stgcnpp,joint_missing_mild,52,pat on back of other person,276,0.9239,0.6763,0.1746,0.2476
