model,condition,class_id,action,support,clean_accuracy,mean_accuracy,absolute_drop
ctrgcn,limb_occlusion_mild,2,brushing teeth,273,0.873,0.6862,0.1868
ctrgcn,limb_occlusion_mild,38,put the palms together,276,0.9239,0.7379,0.186
ctrgcn,limb_occlusion_mild,43,touch head (headache),276,0.8345,0.651,0.1836
ctrgcn,limb_occlusion_mild,19,put on a hat/cap,272,0.9596,0.7917,0.1679
ctrgcn,coord_noise_mild,35,shake head,275,0.9503,0.0315,0.9188
ctrgcn,coord_noise_mild,36,wipe face,276,0.8551,0.0737,0.7814
ctrgcn,coord_noise_mild,52,pat on back of other person,276,0.9143,0.3599,0.5543
ctrgcn,coord_noise_mild,46,touch neck (neckache),276,0.8502,0.3647,0.4855
ctrgcn,coord_noise_mild,10,reading,273,0.6496,0.1734,0.4762
ctrgcn,coord_noise_mild,33,rub two hands together,276,0.9034,0.4928,0.4106
ctrgcn,coord_noise_mild,40,sneeze/cough,276,0.7403,0.3575,0.3829
ctrgcn,coord_noise_mild,45,touch back (backache),276,0.9444,0.5797,0.3647
ctrgcn,coord_noise_mild,19,put on a hat/cap,272,0.9596,0.6005,0.3591
ctrgcn,coord_noise_mild,55,giving something to other person,276,0.9372,0.5845,0.3527
ctrgcn,frame_missing_mild,15,wear a shoe,273,0.8083,0.547,0.2613
ctrgcn,frame_missing_mild,11,writing,272,0.6201,0.4069,0.2132
ctrgcn,frame_missing_mild,28,playing with phone/tablet,275,0.6958,0.4945,0.2012
ctrgcn,frame_missing_mild,24,reach into pocket,274,0.8358,0.6582,0.1776
ctrgcn,frame_missing_mild,46,touch neck (neckache),276,0.8502,0.6981,0.1522
ctrgcn,frame_missing_mild,27,make a phone call/answer phone,275,0.9079,0.7721,0.1358
ctrgcn,frame_missing_mild,43,touch head (headache),276,0.8345,0.7005,0.1341
ctrgcn,frame_missing_mild,32,check time (from watch),276,0.901,0.7729,0.128
ctrgcn,frame_missing_mild,16,take off a shoe,274,0.8382,0.7238,0.1144
ctrgcn,frame_missing_mild,57,handshaking,276,0.9589,0.8599,0.099
ctrgcn,mixed_mild,35,shake head,275,0.9503,0.3285,0.6218
ctrgcn,mixed_mild,36,wipe face,276,0.8551,0.2669,0.5882
ctrgcn,mixed_mild,41,staggering,276,0.9867,0.4408,0.5459
ctrgcn,mixed_mild,46,touch neck (neckache),276,0.8502,0.3104,0.5399
ctrgcn,mixed_mild,50,kicking other person,276,0.9541,0.4191,0.535
ctrgcn,mixed_mild,27,make a phone call/answer phone,275,0.9079,0.3867,0.5212
ctrgcn,mixed_mild,51,pushing other person,276,0.9722,0.4819,0.4903
ctrgcn,mixed_mild,43,touch head (headache),276,0.8345,0.3647,0.4698
ctrgcn,mixed_mild,57,handshaking,276,0.9589,0.4903,0.4686
ctrgcn,mixed_mild,2,brushing teeth,273,0.873,0.409,0.464
ctrgcn,joint_missing_moderate,41,staggering,276,0.9867,0.0,0.9867
ctrgcn,joint_missing_moderate,50,kicking other person,276,0.9541,0.0012,0.9529
ctrgcn,joint_missing_moderate,25,hopping (one foot jumping),275,0.9891,0.0436,0.9455
ctrgcn,joint_missing_moderate,23,kicking something,276,0.9529,0.0097,0.9432
ctrgcn,joint_missing_moderate,51,pushing other person,276,0.9722,0.0374,0.9348
ctrgcn,joint_missing_moderate,14,take off jacket,276,0.9843,0.0713,0.913
ctrgcn,joint_missing_moderate,45,touch back (backache),276,0.9444,0.0386,0.9058
ctrgcn,joint_missing_moderate,3,brushing hair,273,0.917,0.0379,0.8791
ctrgcn,joint_missing_moderate,55,giving something to other person,276,0.9372,0.0676,0.8696
ctrgcn,joint_missing_moderate,35,shake head,275,0.9503,0.0848,0.8655
ctrgcn,limb_occlusion_moderate,47,nausea or vomiting condition,275,0.8497,0.2764,0.5733
ctrgcn,limb_occlusion_moderate,39,cross hands in front (say stop),276,0.936,0.3937,0.5423
ctrgcn,limb_occlusion_moderate,41,staggering,276,0.9867,0.4457,0.5411
ctrgcn,limb_occlusion_moderate,5,pickup,275,0.9697,0.5176,0.4521
ctrgcn,limb_occlusion_moderate,13,wear jacket,275,0.9782,0.5527,0.4255
ctrgcn,limb_occlusion_moderate,21,cheer up,274,0.9258,0.5049,0.4209
ctrgcn,limb_occlusion_moderate,15,wear a shoe,273,0.8083,0.3919,0.4164
ctrgcn,limb_occlusion_moderate,53,point finger at the other person,276,0.913,0.506,0.407
ctrgcn,limb_occlusion_moderate,38,put the palms together,276,0.9239,0.5205,0.4034
ctrgcn,limb_occlusion_moderate,37,salute,276,0.93,0.529,0.401
ctrgcn,coord_noise_moderate,55,giving something to other person,276,0.9372,0.0,0.9372
ctrgcn,coord_noise_moderate,51,pushing other person,276,0.9722,0.0664,0.9058
ctrgcn,coord_noise_moderate,50,kicking other person,276,0.9541,0.0531,0.901
ctrgcn,coord_noise_moderate,27,make a phone call/answer phone,275,0.9079,0.0182,0.8897
ctrgcn,coord_noise_moderate,56,touch other person's pocket,275,0.9382,0.0545,0.8836
ctrgcn,coord_noise_moderate,3,brushing hair,273,0.917,0.0342,0.8828
ctrgcn,coord_noise_moderate,45,touch back (backache),276,0.9444,0.0833,0.8611
ctrgcn,coord_noise_moderate,38,put the palms together,276,0.9239,0.0664,0.8575
ctrgcn,coord_noise_moderate,0,drink water,274,0.8601,0.0122,0.8479
ctrgcn,coord_noise_moderate,14,take off jacket,276,0.9843,0.1425,0.8418
ctrgcn,frame_missing_moderate,15,wear a shoe,273,0.8083,0.3333,0.475
ctrgcn,frame_missing_moderate,11,writing,272,0.6201,0.2145,0.4056
ctrgcn,frame_missing_moderate,24,reach into pocket,274,0.8358,0.4562,0.3796
ctrgcn,frame_missing_moderate,46,touch neck (neckache),276,0.8502,0.4879,0.3623
ctrgcn,frame_missing_moderate,20,take off a hat/cap,273,0.9744,0.6276,0.3468
ctrgcn,frame_missing_moderate,27,make a phone call/answer phone,275,0.9079,0.583,0.3248
ctrgcn,frame_missing_moderate,32,check time (from watch),276,0.901,0.5797,0.3213
ctrgcn,frame_missing_moderate,56,touch other person's pocket,275,0.9382,0.6218,0.3164
ctrgcn,frame_missing_moderate,10,reading,273,0.6496,0.3516,0.2979
ctrgcn,frame_missing_moderate,28,playing with phone/tablet,275,0.6958,0.4036,0.2921
ctrgcn,mixed_moderate,41,staggering,276,0.9867,0.1449,0.8418
ctrgcn,mixed_moderate,51,pushing other person,276,0.9722,0.1401,0.8321
ctrgcn,mixed_moderate,50,kicking other person,276,0.9541,0.1534,0.8007
ctrgcn,mixed_moderate,23,kicking something,276,0.9529,0.1594,0.7935
ctrgcn,mixed_moderate,14,take off jacket,276,0.9843,0.2041,0.7802
ctrgcn,mixed_moderate,3,brushing hair,273,0.917,0.1477,0.7692
ctrgcn,mixed_moderate,27,make a phone call/answer phone,275,0.9079,0.1418,0.7661
ctrgcn,mixed_moderate,55,giving something to other person,276,0.9372,0.1715,0.7657
ctrgcn,mixed_moderate,49,punching/slapping other person,274,0.9112,0.146,0.7652
ctrgcn,mixed_moderate,5,pickup,275,0.9697,0.2097,0.76
ctrgcn,joint_missing_severe,26,jump up,276,1.0,0.0036,0.9964
ctrgcn,joint_missing_severe,25,hopping (one foot jumping),275,0.9891,0.0,0.9891
ctrgcn,joint_missing_severe,41,staggering,276,0.9867,0.0,0.9867
ctrgcn,joint_missing_severe,14,take off jacket,276,0.9843,0.0,0.9843
ctrgcn,joint_missing_severe,54,hugging other person,274,0.9878,0.0036,0.9842
ctrgcn,joint_missing_severe,8,standing up (from sitting position),273,0.9792,0.0,0.9792
ctrgcn,joint_missing_severe,13,wear jacket,275,0.9782,0.0012,0.977
ctrgcn,joint_missing_severe,51,pushing other person,276,0.9722,0.0,0.9722
ctrgcn,joint_missing_severe,42,falling,275,0.9939,0.0218,0.9721
ctrgcn,joint_missing_severe,5,pickup,275,0.9697,0.0024,0.9673
ctrgcn,limb_occlusion_severe,41,staggering,276,0.9867,0.0531,0.9336
ctrgcn,limb_occlusion_severe,42,falling,275,0.9939,0.1394,0.8545
ctrgcn,limb_occlusion_severe,13,wear jacket,275,0.9782,0.1673,0.8109
ctrgcn,limb_occlusion_severe,5,pickup,275,0.9697,0.1636,0.8061
ctrgcn,limb_occlusion_severe,47,nausea or vomiting condition,275,0.8497,0.0812,0.7685
ctrgcn,limb_occlusion_severe,7,sitting down,273,0.9683,0.2015,0.7668
ctrgcn,limb_occlusion_severe,39,cross hands in front (say stop),276,0.936,0.1739,0.7621
ctrgcn,limb_occlusion_severe,21,cheer up,274,0.9258,0.2165,0.7092
ctrgcn,limb_occlusion_severe,50,kicking other person,276,0.9541,0.2657,0.6884
ctrgcn,limb_occlusion_severe,15,wear a shoe,273,0.8083,0.1319,0.6764
ctrgcn,coord_noise_severe,26,jump up,276,1.0,0.0,1.0
ctrgcn,coord_noise_severe,25,hopping (one foot jumping),275,0.9891,0.0,0.9891
ctrgcn,coord_noise_severe,41,staggering,276,0.9867,0.0,0.9867
ctrgcn,coord_noise_severe,14,take off jacket,276,0.9843,0.0,0.9843
ctrgcn,coord_noise_severe,54,hugging other person,274,0.9878,0.0073,0.9805
ctrgcn,coord_noise_severe,13,wear jacket,275,0.9782,0.0024,0.9758
ctrgcn,coord_noise_severe,8,standing up (from sitting position),273,0.9792,0.0049,0.9744
ctrgcn,coord_noise_severe,20,take off a hat/cap,273,0.9744,0.0012,0.9731
ctrgcn,coord_noise_severe,51,pushing other person,276,0.9722,0.0,0.9722
ctrgcn,coord_noise_severe,34,nod head/bow,276,0.971,0.0072,0.9638
ctrgcn,frame_missing_severe,20,take off a hat/cap,273,0.9744,0.3516,0.6227
ctrgcn,frame_missing_severe,32,check time (from watch),276,0.901,0.3092,0.5918
ctrgcn,frame_missing_severe,57,handshaking,276,0.9589,0.3913,0.5676
ctrgcn,frame_missing_severe,46,touch neck (neckache),276,0.8502,0.2923,0.558
ctrgcn,frame_missing_severe,28,playing with phone/tablet,275,0.6958,0.1455,0.5503
ctrgcn,frame_missing_severe,15,wear a shoe,273,0.8083,0.2735,0.5348
ctrgcn,frame_missing_severe,24,reach into pocket,274,0.8358,0.3041,0.5316
ctrgcn,frame_missing_severe,16,take off a shoe,274,0.8382,0.3273,0.5109
ctrgcn,frame_missing_severe,39,cross hands in front (say stop),276,0.936,0.43,0.506
ctrgcn,frame_missing_severe,11,writing,272,0.6201,0.1164,0.5037
ctrgcn,mixed_severe,41,staggering,276,0.9867,0.0543,0.9324
ctrgcn,mixed_severe,5,pickup,275,0.9697,0.0642,0.9055
ctrgcn,mixed_severe,7,sitting down,273,0.9683,0.0757,0.8926
ctrgcn,mixed_severe,51,pushing other person,276,0.9722,0.0821,0.8901
ctrgcn,mixed_severe,42,falling,275,0.9939,0.1103,0.8836
ctrgcn,mixed_severe,8,standing up (from sitting position),273,0.9792,0.0965,0.8828
ctrgcn,mixed_severe,25,hopping (one foot jumping),275,0.9891,0.1115,0.8776
ctrgcn,mixed_severe,13,wear jacket,275,0.9782,0.103,0.8752
ctrgcn,mixed_severe,23,kicking something,276,0.9529,0.0821,0.8708
ctrgcn,mixed_severe,14,take off jacket,276,0.9843,0.1171,0.8671
